asset_name,asset_id,asset_type,asset_link,asset_parent_id,publication_date,asset parent id,Parent asset type,Asset Agency,Parent Agency,FoundationalorNot,Vparent,All_Asset,asset_cnt,Sparent
"WAOFM - Census - Population Density by County by Decade, 1900 to 2010",e6ip-wkqq,dataset,https://data.wa.gov/Demographics/WAOFM-Census-Population-Density-by-County-by-Decad/e6ip-wkqq,,02/09/2012 12:00:00 AM,,,"Financial Management, Office of (OFM)",,Foundational,0,1,1,0
"WAOFM - Legislative Districts - Table 2: Census 2010 Population by Race and Hispanic or Latino Origin, for All Ages and for 18 Years and Over",di4y-k8za,dataset,https://data.wa.gov/Demographics/WAOFM-Legislative-Districts-Table-2-Census-2010-Po/di4y-k8za,,02/23/2012 12:00:00 AM,,,"Financial Management, Office of (OFM)",,Foundational,0,1,2,0
WAOFM - Congressional Districts - Table 1: Census 2010 Population and Housing,um6h-4brj,dataset,https://data.wa.gov/Demographics/WAOFM-Congressional-Districts-Table-1-Census-2010-/um6h-4brj,,02/23/2012 12:00:00 AM,,,"Financial Management, Office of (OFM)",,Foundational,0,1,3,0
"WAOFM - Congressional Districts - Table 2: Census 2010 Population by Race and Hispanic or Latino Origin, for All Ages and for 18 Years and Over",gexj-mqiq,dataset,https://data.wa.gov/Demographics/WAOFM-Congressional-Districts-Table-2-Census-2010-/gexj-mqiq,,02/23/2012 12:00:00 AM,,,"Financial Management, Office of (OFM)",,Foundational,0,1,4,0
WAOFM - Legislative Districts - Table 1: Census 2010 Population and Housing,89me-k7y5,dataset,https://data.wa.gov/Demographics/WAOFM-Legislative-Districts-Table-1-Census-2010-Po/89me-k7y5,,02/23/2012 12:00:00 AM,,,"Financial Management, Office of (OFM)",,Foundational,0,1,5,0
"WAOFM - Census - Population and Housing, 2000 and 2010",tx5i-i2ja,dataset,https://data.wa.gov/Demographics/WAOFM-Census-Population-and-Housing-2000-and-2010/tx5i-i2ja,,05/04/2012 12:00:00 AM,,,"Financial Management, Office of (OFM)",,Foundational,0,1,6,0
Broadband ARRA Spend by Recipient,6kyv-jfts,chart,https://data.wa.gov/Economics/Broadband-ARRA-Spend-by-Recipient/6kyv-jfts,qgmw-2awv,11/21/2012 12:00:00 AM,qgmw-2awv,parent asset is private or deleted,Washington State Technology Solutions (CTS),parent asset is private or deleted,Derivative,0,1,7,0
Hood Canal Final Abundance 01032013,wnng-dhxk,dataset,https://data.wa.gov/dataset/Hood-Canal-Final-Abundance-01032013/wnng-dhxk,,01/03/2013 12:00:00 AM,,,"Salmon Recovery Office, Governor's (GSRO)",,Foundational,1,1,8,0
2000-2011,ry9s-rt6r,chart,https://data.wa.gov/dataset/2000-2011/ry9s-rt6r,wnng-dhxk,01/03/2013 12:00:00 AM,wnng-dhxk,dataset,Other external user,"Salmon Recovery Office, Governor's (GSRO)",Derivative,0,1,9,0
Integrated Site Information System(ISIS) Website - (Cleanup Site & Underground Storage Tank(UST) information),h9yj-vui4,href,https://data.wa.gov/Natural-Resources-Environment/Integrated-Site-Information-System-ISIS-Website-Cl/h9yj-vui4,,04/24/2013 12:00:00 AM,,,"Ecology, Department of (ECY)",,External,0,1,10,0
"Hospital Inpatient Discharges by DRG, U.S., FY2011",swuj-ccgu,dataset,https://data.wa.gov/Health/Hospital-Inpatient-Discharges-by-DRG-U-S-FY2011/swuj-ccgu,,06/20/2013 12:00:00 AM,,,"Financial Management, Office of (OFM)",,Foundational,0,1,11,0
Procedure costs >$25K & Disch/100k >13,2gbq-qpgb,chart,https://data.wa.gov/Health/Procedure-costs-25K-Disch-100k-13/2gbq-qpgb,xupn-4ych,06/20/2013 12:00:00 AM,xupn-4ych,dataset,Other external user,"Financial Management, Office of (OFM)",Derivative,0,1,12,0
Hospital Discharge Volume Comparisons for WA,xkg9-xapr,chart,https://data.wa.gov/Health/Hospital-Discharge-Volume-Comparisons-for-WA/xkg9-xapr,xupn-4ych,06/20/2013 12:00:00 AM,xupn-4ych,dataset,Other external user,"Financial Management, Office of (OFM)",Derivative,0,1,13,0
"Hospital Inpatient Discharges by DRG, Washington, FY2011",p2c3-pm28,dataset,https://data.wa.gov/Health/Hospital-Inpatient-Discharges-by-DRG-Washington-FY/p2c3-pm28,,06/20/2013 12:00:00 AM,,,"Financial Management, Office of (OFM)",,Foundational,0,1,14,0
Average Hospital Charges per DRG Compared,r58e-z6et,chart,https://data.wa.gov/Health/Average-Hospital-Charges-per-DRG-Compared/r58e-z6et,xupn-4ych,06/20/2013 12:00:00 AM,xupn-4ych,dataset,Other external user,"Financial Management, Office of (OFM)",Derivative,0,1,15,0
"Hospital Inpatient Discharges by DRG, Northwest, FY2011",mu24-67ke,dataset,https://data.wa.gov/Health/Hospital-Inpatient-Discharges-by-DRG-Northwest-FY2/mu24-67ke,,06/20/2013 12:00:00 AM,,,"Financial Management, Office of (OFM)",,Foundational,0,1,16,0
"Hospital Inpatient Discharge Rates, Average Charges, Average Payments, and Charge-to-Payment Ratios by DRG - U.S., Northwest, and Washington State - FY2011",xupn-4ych,dataset,https://data.wa.gov/Health/Hospital-Inpatient-Discharge-Rates-Average-Charges/xupn-4ych,,06/20/2013 12:00:00 AM,,,"Financial Management, Office of (OFM)",,Foundational,1,1,17,0
Criminal Justice,3vxk-ghwr,dataset,https://data.wa.gov/Public-Safety/Criminal-Justice/3vxk-ghwr,,06/21/2013 12:00:00 AM,,,Washington State Technology Solutions (CTS),,Foundational,0,1,18,0
Proposed Export Terminals WA,khba-ryvx,map,https://data.wa.gov/dataset/Proposed-Export-Terminals-WA/khba-ryvx,tmay-2i9v,07/16/2013 12:00:00 AM,tmay-2i9v,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,19,0
Proposed Coal Export Terminal Locations,tmay-2i9v,dataset,https://data.wa.gov/dataset/Proposed-Coal-Export-Terminal-Locations/tmay-2i9v,,07/16/2013 12:00:00 AM,,,"Ecology, Department of (ECY)",,Foundational,1,1,20,0
Proposed Coal Export Terminals in Washington,hhff-ih6e,map,https://data.wa.gov/dataset/Proposed-Coal-Export-Terminals-in-Washington/hhff-ih6e,tmay-2i9v,07/16/2013 12:00:00 AM,tmay-2i9v,dataset,"Ecology, Department of (ECY)","Ecology, Department of (ECY)",Derivative,0,1,21,0
Ecology SEPA Review - Proposed Crude By Rail Sites,9es4-m5a8,map,https://data.wa.gov/dataset/Ecology-SEPA-Review-Proposed-Crude-By-Rail-Sites/9es4-m5a8,r3fy-c4n6,07/18/2013 12:00:00 AM,r3fy-c4n6,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted,Derivative,0,1,22,0
(To be retired) Cumulative Data Request Status - By Month,pw59-nj5b,chart,https://data.wa.gov/dataset/-To-be-retired-Cumulative-Data-Request-Status-By-M/pw59-nj5b,5piy-sp8f,07/19/2013 12:00:00 AM,5piy-sp8f,parent asset is private or deleted,"Fish and Wildlife, Department of (DFW)",parent asset is private or deleted,Derivative,0,1,23,0
(To be retired) Data Requests - by Month / Status,htv5-4vhw,chart,https://data.wa.gov/dataset/-To-be-retired-Data-Requests-by-Month-Status/htv5-4vhw,5piy-sp8f,07/19/2013 12:00:00 AM,5piy-sp8f,parent asset is private or deleted,"Fish and Wildlife, Department of (DFW)",parent asset is private or deleted,Derivative,0,1,24,0
