asset id,asset parent id,Parent asset type,Asset Agency,Parent Agency
qxh8-f4bd,,,"Health, Department of (DOH)",
k356-mc56,qxh8-f4bd,dataset,"Financial Management, Office of (OFM)","Health, Department of (DOH)"
9xsr-tz9m,vtkh-65is,dataset,Washington State Technology Solutions (CTS),"Ecology, Department of (ECY)"
xiqj-45bf,vtkh-65is,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
9nnw-c693,,,Public Disclosure Commission (PDC),
we9k-a58y,,,"Ecology, Department of (ECY)",
tx5i-i2ja,,,"Financial Management, Office of (OFM)",
pqu3-uhwj,6du3-3h9e,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Accountancy, State Board of (WBOA)(ACB)"
aug9-4a7g,,,"Licensing, Department of (DOL)",
m8qx-ubtq,,,"Labor & Industries, Department of (LNI)",
n2ij-uduu,gpri-47xz,dataset,"Financial Management, Office of (OFM)","Attorney General, Office of the (ATG)"
4xxd-wv4w,eiss-ghr9,parent asset is private or deleted,"Labor & Industries, Department of (LNI)",parent asset is private or deleted
4xxd-wv4w,pd47-hngh,map,"Labor & Industries, Department of (LNI)","Public Instruction, Office of Superintendent of (OSPI)"
688k-siuy,qxh8-f4bd,dataset,"Ecology, Department of (ECY)","Health, Department of (DOH)"
irv9-b275,ei6b-djpx,map,Recreation and Conservation Office (RCO),"Public Instruction, Office of Superintendent of (OSPI)"
irv9-b275,uyg8-hybx,parent asset is private or deleted,Recreation and Conservation Office (RCO),parent asset is private or deleted
irv9-b275,isxq-iqdy,chart,Recreation and Conservation Office (RCO),Recreation and Conservation Office (RCO)
msaf-rcj2,,,Recreation and Conservation Office (RCO),
kv7h-kjye,,,Public Disclosure Commission (PDC),
tijg-9zyp,,,Public Disclosure Commission (PDC),
hsbt-ipx7,aug9-4a7g,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
f6w7-q2d2,,,"Licensing, Department of (DOL)",
58r6-eukc,5pxv-mthc,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
auvb-4rvk,,,"Fish and Wildlife, Department of (DFW)",
gpri-47xz,,,"Attorney General, Office of the (ATG)",
gzrx-79x2,pzcu-jpab,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Accountancy, State Board of (WBOA)(ACB)"
k5r7-nvip,gpri-47xz,dataset,Other external user,"Attorney General, Office of the (ATG)"
rpr4-cgyd,,,"Licensing, Department of (DOL)",
xcku-b9qq,,,"Financial Management, Office of (OFM)",
gkwx-zwe8,69ff-eep2,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
xvg3-xcf3,gpri-47xz,dataset,"Financial Management, Office of (OFM)","Attorney General, Office of the (ATG)"
mcp7-tcwf,,,"Fish and Wildlife, Department of (DFW)",
yccr-zbpr,tn3n-uv4s,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
v62z-bcji,vz5p-qvth,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
fupg-pfci,gpri-47xz,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
wt8r-5xui,,,"Public Instruction, Office of Superintendent of (OSPI)",
gtd3-scga,,,"Public Instruction, Office of Superintendent of (OSPI)",
